Date,YM,MKT,VALUE,GROWTH,MOM
<<<<<<< HEAD
2011-10-31,2011-10,0.10914698890808094,-0.0883301968066097,-0.0051274830156071705,0.21135396055393585
2011-11-30,2011-11,-0.004063873695717257,0.020534566111077623,-0.022855897956884585,-0.07453174673989404
2011-12-30,2011-12,0.010448289421942647,0.004438177689869427,-0.01658987815831603,-0.02215483794062223
2012-01-31,2012-01,0.04637445175651966,-0.029949771970280814,0.03780949359994934,0.18438391636086093
2012-02-29,2012-02,0.04340565836897725,-0.014845371093830773,0.020694741944428552,0.13729146724144514
2012-03-30,2012-03,0.032163954684304885,-0.008092227745003733,0.018366789008424922,0.10407172977278822
2012-04-30,2012-04,-0.0066759619164128425,0.005600252007249229,-0.005019255234356312,-0.03135096854181174
2012-05-31,2012-05,-0.060055462126676784,0.02200803013485575,-0.01034598051199942,-0.13407039254429665
2012-06-29,2012-06,0.040580837144176485,0.0030324380018502683,-0.004366274231652145,0.061720703144531486
2012-07-31,2012-07,0.011830027175052882,0.012665288869544877,-0.0018550989412529084,0.012824827466828559
2012-08-31,2012-08,0.025052086751156777,-0.019073919941351214,0.02679960468236997,0.10908111781014851
2012-09-28,2012-09,0.025351292486568422,-0.013243999686646468,-0.01646664506588902,0.012506261579336098
2012-10-31,2012-10,-0.018198504540551608,0.008807129778450329,-0.034594370901378846,-0.10353922715886343
2012-11-30,2012-11,0.005659903193105054,-0.0010947548403972274,0.007426946402804058,0.018773256779464065
2012-12-31,2012-12,0.008934344957670204,-0.009427343029855595,-0.013603848745093794,-0.01465225713085816
2013-01-31,2013-01,0.05119019467372343,0.004208403077972767,-0.02447413552375477,0.04977595697760662
2013-02-28,2013-02,0.012759303823948187,0.008304210358391684,-0.009319780747049533,0.0024809038376538695
2013-03-28,2013-03,0.03797051546316377,0.009604636110965847,-0.007722858782435615,0.05715945727075744
2013-04-30,2013-04,0.01921238792095603,0.010671409149712208,0.006160677680205895,0.04401743993585194
2013-05-31,2013-05,0.023609707804692848,-0.009559681818947618,0.01216551774129826,0.07129597856977621
2013-06-28,2013-06,-0.01334397824823863,0.005111915932037636,-0.010608963757450574,-0.056275038854778914
2013-07-31,2013-07,0.05167678379949869,-0.0058054225091925815,0.01146330015559549,0.13827627399373865
2013-08-30,2013-08,-0.029992798461368153,-0.0053872411320141644,0.026033289086607958,-0.012967587370378175
2013-09-30,2013-09,0.03164664130475514,-0.00477876334508287,0.016675486473233914,0.10078514058664378
2013-10-31,2013-10,0.0463068410501124,0.00361873387081757,0.00326224321905344,0.0973941112719594
2013-11-29,2013-11,0.029637526995149877,-0.004163601124529626,0.005873943793005765,0.06784681078775812
2013-12-31,2013-12,0.025926465141608235,-0.007082296130144439,0.0033447169675715482,0.05931825078617159
2014-01-31,2014-01,-0.03524852035233206,-0.00921406546915371,0.016035071799136658,-0.04435959438489978
2014-02-28,2014-02,0.04551645984678898,-0.006692621610840943,0.006007621582789557,0.10249386392540294
2014-03-31,2014-03,0.008294886571451165,0.01126766385333089,-0.03563032557234902,-0.05632121494216813
2014-04-30,2014-04,0.006952002329867701,0.011229817923296581,-0.010145875828717177,-0.017147013083376184
2014-05-30,2014-05,0.023206365516401872,-0.009880305012059054,0.02165008048442818,0.09019313764396242
2014-06-30,2014-06,0.02064477220684946,-0.00704952681612081,0.010593178269126202,0.0633393917656162
2014-07-31,2014-07,-0.013438127573722092,-0.003807286169796198,0.025258293592047565,0.01866928621211361
2014-08-29,2014-08,0.03946395926281121,-0.00516466694399309,0.010630644605533313,0.1045895438561788
2014-09-30,2014-09,-0.013796387035768909,0.011486382596667899,0.006229695151251935,-0.020192090108296368
2014-10-31,2014-10,0.023551226158242677,-0.0038419375475791107,0.0028685085735649096,0.03935264335857269
2014-11-28,2014-11,0.02747189114960147,0.002284422188277846,0.017991657755670243,0.09748700160026513
2014-12-31,2014-12,-0.0025366067325034436,-0.00651649110059449,-0.019869368194143644,-0.05268940505500286
2015-01-30,2015-01,-0.029629221040917475,-0.0014877474099712629,0.008805932380296366,-0.048647965535062676
2015-02-27,2015-02,0.056204702955679586,-0.0038862319682924085,0.01600096714069621,0.1551873590573969
2015-03-31,2015-03,-0.015705506103379063,-0.007758143374411719,-0.007884331955591128,-0.05098083304928114
2015-04-30,2015-04,0.009833899797178969,-0.002221359526738187,0.009389400793673008,0.03233481744222799
2015-05-29,2015-05,0.012855736513170068,-0.007819154535582351,0.009628721777874105,0.04104278752277302
2015-06-30,2015-06,-0.020312001675302338,-0.012802478998856004,-0.004528562083494281,-0.05164821638471684
2015-07-31,2015-07,0.022589180852117474,-0.015537604945462524,0.022988325968146928,0.0879184962836308
2015-08-31,2015-08,-0.0609501137442332,0.007786142973218446,-0.007294657699142615,-0.1445773988346415
2015-09-30,2015-09,-0.02551595220164682,0.018355359328500742,0.0034431139624607754,-0.05926783941845548
2015-10-30,2015-10,0.08505971754217811,0.0025624098870173917,0.028639073862692044,0.2585916836010054
2015-11-30,2015-11,0.003654823236979521,-8.41369919468038e-4,0.0024334829027425897,0.007033740828676693
2015-12-31,2015-12,-0.01728237394681953,0.007770586102783028,0.001334827848973985,-0.04171640858334047
2016-01-29,2016-01,-0.049786600093078226,0.026964953298933114,-0.019317988018743848,-0.14222343699527162
2016-02-29,2016-02,-8.259266047064839e-4,0.00825661548647727,-0.014827380567046355,-0.0447305236899217
2016-03-31,2016-03,0.06726620568648056,-0.0032728361645923965,0.0012598318437737621,0.14116047981189017
2016-04-29,2016-04,0.003941055248677605,-0.0056870952481477,-0.03580905419864888,-0.06373739215796415
2016-05-31,2016-05,0.017011675533759485,-0.003018626555860049,0.02668835401017078,0.0846875677977712
2016-06-30,2016-06,0.0034758149143281347,0.02569541488410887,-0.026256027082047995,-0.05549702134028267
2016-07-29,2016-07,0.03647133307083461,-0.007996373632089604,0.035037112920595304,0.15367841046448238
2016-08-31,2016-08,0.001197700814927316,-0.004482576473484823,0.009303022029117702,0.01941165883424789
2016-09-30,2016-09,5.770677694783011e-5,0.001780325173668107,0.022077917581948103,0.03587014846574954
2016-10-31,2016-10,-0.017336935099441342,0.0017375221979651911,0.0027646276989856666,-0.031543036095759924
2016-11-30,2016-11,0.03683831444277752,-0.00418516165450411,-0.03247897119364973,0.006646696220361958
2016-12-30,2016-12,0.02027184552246819,0.001970030102999454,-0.008949258785873937,0.014643223218379076
2017-01-31,2017-01,0.01789467791267141,-0.02271467921085657,0.03350625473006397,0.10618730041244429
2017-02-28,2017-02,0.03929166842895149,-0.005158711212617462,0.004458842790791451,0.09014427366644662
2017-03-31,2017-03,0.0012498687261437436,1.7112593210177884e-4,0.019018748952258857,0.03613844338573835
2017-04-28,2017-04,0.009925947144493463,-0.007458027511448639,0.01734420608974152,0.053446161920462476
2017-05-31,2017-05,0.014113141742397861,0.003340088600567448,0.024860155934339323,0.07536657955051584
2017-06-30,2017-06,0.006374895643945999,-0.007331237367022347,-0.029554591516581796,-0.05749412241217189
2017-07-31,2017-07,0.020554398333137547,-0.003924742901697753,0.020059064484507116,0.08502631403309935
2017-08-31,2017-08,0.0029175215263281817,-0.0031354733983574024,0.01781850633846327,0.02965964301362689
2017-09-29,2017-09,0.02014929317295655,0.008330406436052318,-0.02310173643793556,-0.007613013538767643
2017-10-31,2017-10,0.02356421128950892,0.012546806002909472,0.022499666672231022,0.09135404338165887
2017-11-30,2017-11,0.03056588225777679,0.011504638930114108,-0.010848736648570556,0.035303925874446085
2017-12-29,2017-12,0.012127867551539717,0.007413283647568214,-0.006096297269430506,0.005784631001961804
2018-01-31,2018-01,0.05635909397233685,-0.010824793368607644,0.03121138286501579,0.1894625684766913
2018-02-28,2018-02,-0.03636012157165891,-0.0199010577044324,0.023432069495363028,-0.048714720380154564
2018-03-29,2018-03,-0.027410697124411132,0.0035620814730915606,-0.0133775281705657,-0.09342332914426632
2018-04-30,2018-04,0.005168184223930838,-0.016385620977412474,-1.1000737098942892e-4,-0.009296660653421385
2018-05-31,2018-05,0.024309214368179788,-0.006363809173290047,0.0324200519416078,0.11325178550439197
2018-06-29,2018-06,0.005750810174452559,0.001216685370491133,0.005700043436522639,0.010377690324672617
2018-07-31,2018-07,0.03704630306032941,0.008399060934001445,-0.009082706314319289,0.04767988592736949
2018-08-31,2018-08,0.03192013345945455,-0.009021103655418639,0.02588644957835462,0.11914283311428431
2018-09-28,2018-09,0.005945611174531962,0.006474152697929281,-0.008761826761258806,-0.013228043982316029
2018-10-31,2018-10,-0.06910446690539596,0.010047758879562219,-0.016852392053367304,-0.18013822983440586
2018-11-30,2018-11,0.018549202906346318,0.015138437858648768,-0.02119954127666268,-0.026462712284340828
2018-12-31,2018-12,-0.08804852409950159,0.006734320449325537,0.0014415315303324405,-0.18168951810369027
2019-01-31,2019-01,0.08006589559908717,-0.019601845761296754,0.01004173045937562,0.17906046734947
2019-02-28,2019-02,0.03241537122701854,0.008139003844749082,-0.0025033805754932636,0.055814505546521787
2019-03-29,2019-03,0.01810071475007491,-0.0026062766234404844,0.021145006050222515,0.07125774374669946
